symbol,sector,formal_symbol,text_present,table_present,timeseries_present,image_present,earliest_safe_date,latest_safe_pre2024_decision,eligible_weekly_cases,pre2024_matured_reward_cases,modality_profile,data_integrity_status,structural_invalid_rows,duplicate_session_rows,non_xnys_rows,correctness_eligible,selected_in_any_tier,tie_break_rank,known_source_integrity_limitation,exclusion_reason
AAPL,Technology,true,true,true,true,true,2000-03-31,2023-12-15,1240,1238,T1-B1-S1-I1,PASS_REQUIRED_WINDOWS,0,0,0,true,true,,TEXT_FAIL_CLOSED_M1_VERIFIED_SOURCE_CORRUPTION;IMAGE_FROZEN_UNAVAILABLE_BY_M1_CONTRACT,
AAT,Real Estate,false,true,true,true,true,2011-04-15,2023-12-15,664,662,T1-B1-S1-I1,PASS_REQUIRED_WINDOWS,0,0,0,true,false,1604,TEXT_CONTENT_INTEGRITY_NOT_AUDITED_M2_02,NOT_SELECTED_BY_DETERMINISTIC_DIVERSITY_TIE_BREAK
AAXJ,N/A,false,true,false,true,true,,,0,0,T1-B0-S1-I1,INVALID_HEADER,0,0,0,false,false,,TEXT_CONTENT_INTEGRITY_NOT_AUDITED_M2_02;TABLE_MEMBER_MISSING,INCOMPLETE_STRUCTURALLY_VALID_REQUIRED_WINDOWS
AB,Financial Services,false,true,true,true,true,2000-03-31,2023-12-15,1240,1238,T1-B1-S1-I1,PASS_REQUIRED_WINDOWS,0,0,0,true,false,1686,TEXT_CONTENT_INTEGRITY_NOT_AUDITED_M2_02,NOT_SELECTED_BY_DETERMINISTIC_DIVERSITY_TIE_BREAK
ABBV,Healthcare,false,true,true,true,true,2013-04-05,2023-12-15,561,559,T1-B1-S1-I1,PASS_REQUIRED_WINDOWS,0,0,0,true,false,2589,TEXT_CONTENT_INTEGRITY_NOT_AUDITED_M2_02,NOT_SELECTED_BY_DETERMINISTIC_DIVERSITY_TIE_BREAK
ABCB,Financial Services,false,true,true,true,true,2000-03-31,2023-12-15,1240,1238,T1-B1-S1-I1,PASS_REQUIRED_WINDOWS,0,0,0,true,false,1503,TEXT_CONTENT_INTEGRITY_NOT_AUDITED_M2_02,NOT_SELECTED_BY_DETERMINISTIC_DIVERSITY_TIE_BREAK
ABEO,Healthcare,false,true,true,true,true,2000-03-31,2023-12-15,1240,1238,T1-B1-S1-I1,PASS_REQUIRED_WINDOWS,0,0,0,true,false,2636,TEXT_CONTENT_INTEGRITY_NOT_AUDITED_M2_02,NOT_SELECTED_BY_DETERMINISTIC_DIVERSITY_TIE_BREAK
ABEQ,N/A,false,true,false,true,true,,,0,0,T1-B0-S1-I1,INVALID_HEADER,0,0,0,false,false,,TEXT_CONTENT_INTEGRITY_NOT_AUDITED_M2_02;TABLE_MEMBER_MISSING,INCOMPLETE_STRUCTURALLY_VALID_REQUIRED_WINDOWS
ABEV,Consumer Defensive,false,true,true,true,true,2000-03-31,2023-12-15,1240,1238,T1-B1-S1-I1,PASS_REQUIRED_WINDOWS,0,0,0,true,false,2907,TEXT_CONTENT_INTEGRITY_NOT_AUDITED_M2_02,NOT_SELECTED_BY_DETERMINISTIC_DIVERSITY_TIE_BREAK
ABG,Consumer Cyclical,false,true,true,true,true,2002-06-21,2023-12-15,1124,1122,T1-B1-S1-I1,PASS_REQUIRED_WINDOWS,0,0,0,true,false,2862,TEXT_CONTENT_INTEGRITY_NOT_AUDITED_M2_02,NOT_SELECTED_BY_DETERMINISTIC_DIVERSITY_TIE_BREAK
ABM,Industrials,false,true,true,true,true,2000-03-31,2023-12-15,1240,1238,T1-B1-S1-I1,PASS_REQUIRED_WINDOWS,0,0,0,true,false,1627,TEXT_CONTENT_INTEGRITY_NOT_AUDITED_M2_02,NOT_SELECTED_BY_DETERMINISTIC_DIVERSITY_TIE_BREAK
ABR,Real Estate,false,true,true,true,true,2004-07-09,2023-12-15,1017,1015,T1-B1-S1-I1,PASS_REQUIRED_WINDOWS,0,0,0,true,false,2552,TEXT_CONTENT_INTEGRITY_NOT_AUDITED_M2_02,NOT_SELECTED_BY_DETERMINISTIC_DIVERSITY_TIE_BREAK
ABT,Healthcare,false,true,true,true,true,2000-03-31,2023-12-15,1240,1238,T1-B1-S1-I1,PASS_REQUIRED_WINDOWS,0,0,0,true,false,932,TEXT_CONTENT_INTEGRITY_NOT_AUDITED_M2_02,NOT_SELECTED_BY_DETERMINISTIC_DIVERSITY_TIE_BREAK
ABUS,Healthcare,false,true,true,true,true,2007-10-19,2023-12-15,846,844,T1-B1-S1-I1,PASS_REQUIRED_WINDOWS,0,0,0,true,false,1650,TEXT_CONTENT_INTEGRITY_NOT_AUDITED_M2_02,NOT_SELECTED_BY_DETERMINISTIC_DIVERSITY_TIE_BREAK
AC,Financial Services,false,true,true,true,true,2016-02-12,2023-12-15,412,410,T1-B1-S1-I1,PASS_REQUIRED_WINDOWS,0,0,0,true,false,24,TEXT_CONTENT_INTEGRITY_NOT_AUDITED_M2_02,NOT_SELECTED_BY_DETERMINISTIC_DIVERSITY_TIE_BREAK
ACA,Industrials,false,true,true,true,true,2019-02-08,2023-12-15,256,254,T1-B1-S1-I1,PASS_REQUIRED_WINDOWS,0,0,0,true,false,1932,TEXT_CONTENT_INTEGRITY_NOT_AUDITED_M2_02,NOT_SELECTED_BY_DETERMINISTIC_DIVERSITY_TIE_BREAK
ACAD,Healthcare,false,true,true,true,true,2004-08-27,2023-12-15,1010,1008,T1-B1-S1-I1,PASS_REQUIRED_WINDOWS,0,0,0,true,false,252,TEXT_CONTENT_INTEGRITY_NOT_AUDITED_M2_02,NOT_SELECTED_BY_DETERMINISTIC_DIVERSITY_TIE_BREAK
ACB,Healthcare,false,true,true,true,true,2014-10-10,2023-12-15,482,480,T1-B1-S1-I1,PASS_REQUIRED_WINDOWS,0,0,0,true,false,2196,TEXT_CONTENT_INTEGRITY_NOT_AUDITED_M2_02,NOT_SELECTED_BY_DETERMINISTIC_DIVERSITY_TIE_BREAK
ACCO,Industrials,false,true,true,true,true,2005-11-11,2023-12-15,947,945,T1-B1-S1-I1,PASS_REQUIRED_WINDOWS,0,0,0,true,false,1334,TEXT_CONTENT_INTEGRITY_NOT_AUDITED_M2_02,NOT_SELECTED_BY_DETERMINISTIC_DIVERSITY_TIE_BREAK
ACEL,Consumer Cyclical,false,true,true,true,true,2017-11-17,2023-12-15,320,318,T1-B1-S1-I1,PASS_REQUIRED_WINDOWS,0,0,0,true,false,2694,TEXT_CONTENT_INTEGRITY_NOT_AUDITED_M2_02,NOT_SELECTED_BY_DETERMINISTIC_DIVERSITY_TIE_BREAK
ACES,N/A,false,true,false,true,true,,,0,0,T1-B0-S1-I1,INVALID_HEADER,0,0,0,false,false,,TEXT_CONTENT_INTEGRITY_NOT_AUDITED_M2_02;TABLE_MEMBER_MISSING,INCOMPLETE_STRUCTURALLY_VALID_REQUIRED_WINDOWS
ACGL,Financial Services,false,true,true,true,true,2000-03-31,2023-12-15,1240,1238,T1-B1-S1-I1,PASS_REQUIRED_WINDOWS,0,0,0,true,false,1726,TEXT_CONTENT_INTEGRITY_NOT_AUDITED_M2_02,NOT_SELECTED_BY_DETERMINISTIC_DIVERSITY_TIE_BREAK
ACGLO,Financial Services,false,true,true,true,true,2017-11-17,2023-12-15,320,318,T1-B1-S1-I1,PASS_REQUIRED_WINDOWS,0,0,0,true,false,2216,TEXT_CONTENT_INTEGRITY_NOT_AUDITED_M2_02,NOT_SELECTED_BY_DETERMINISTIC_DIVERSITY_TIE_BREAK
ACHC,Healthcare,false,true,true,true,true,2000-03-31,2023-12-15,1240,1238,T1-B1-S1-I1,PASS_REQUIRED_WINDOWS,0,0,0,true,false,2459,TEXT_CONTENT_INTEGRITY_NOT_AUDITED_M2_02,NOT_SELECTED_BY_DETERMINISTIC_DIVERSITY_TIE_BREAK
ACHV,Healthcare,false,true,true,true,true,2000-03-31,2023-12-15,1240,1238,T1-B1-S1-I1,PASS_REQUIRED_WINDOWS,0,0,0,true,false,2051,TEXT_CONTENT_INTEGRITY_NOT_AUDITED_M2_02,NOT_SELECTED_BY_DETERMINISTIC_DIVERSITY_TIE_BREAK
ACI,Consumer Defensive,false,true,true,true,true,2020-09-25,2023-12-15,171,169,T1-B1-S1-I1,PASS_REQUIRED_WINDOWS,0,0,0,true,false,365,TEXT_CONTENT_INTEGRITY_NOT_AUDITED_M2_02,NOT_SELECTED_BY_DETERMINISTIC_DIVERSITY_TIE_BREAK
ACIO,N/A,false,true,false,true,true,,,0,0,T1-B0-S1-I1,INVALID_HEADER,0,0,0,false,false,,TEXT_CONTENT_INTEGRITY_NOT_AUDITED_M2_02;TABLE_MEMBER_MISSING,INCOMPLETE_STRUCTURALLY_VALID_REQUIRED_WINDOWS
ACIU,Healthcare,false,true,true,true,true,2016-12-23,2023-12-15,367,365,T1-B1-S1-I1,PASS_REQUIRED_WINDOWS,0,0,0,true,false,792,TEXT_CONTENT_INTEGRITY_NOT_AUDITED_M2_02,NOT_SELECTED_BY_DETERMINISTIC_DIVERSITY_TIE_BREAK
ACIW,Technology,false,true,true,true,true,2000-03-31,2023-12-15,1240,1238,T1-B1-S1-I1,PASS_REQUIRED_WINDOWS,0,0,0,true,false,360,TEXT_CONTENT_INTEGRITY_NOT_AUDITED_M2_02,NOT_SELECTED_BY_DETERMINISTIC_DIVERSITY_TIE_BREAK
ACLS,Technology,false,true,true,true,true,2000-10-06,2023-12-15,1213,1211,T1-B1-S1-I1,PASS_REQUIRED_WINDOWS,0,0,0,true,false,215,TEXT_CONTENT_INTEGRITY_NOT_AUDITED_M2_02,NOT_SELECTED_BY_DETERMINISTIC_DIVERSITY_TIE_BREAK
ACM,Industrials,false,true,true,true,true,2007-08-10,2023-12-15,856,854,T1-B1-S1-I1,PASS_REQUIRED_WINDOWS,0,0,0,true,false,1831,TEXT_CONTENT_INTEGRITY_NOT_AUDITED_M2_02,NOT_SELECTED_BY_DETERMINISTIC_DIVERSITY_TIE_BREAK
ACMR,Technology,false,true,true,true,true,2018-02-02,2023-12-15,309,307,T1-B1-S1-I1,PASS_REQUIRED_WINDOWS,0,0,0,true,false,93,TEXT_CONTENT_INTEGRITY_NOT_AUDITED_M2_02,NOT_SELECTED_BY_DETERMINISTIC_DIVERSITY_TIE_BREAK
ACN,Technology,false,true,true,true,true,2001-10-19,2023-12-15,1159,1157,T1-B1-S1-I1,PASS_REQUIRED_WINDOWS,0,0,0,true,false,2600,TEXT_CONTENT_INTEGRITY_NOT_AUDITED_M2_02,NOT_SELECTED_BY_DETERMINISTIC_DIVERSITY_TIE_BREAK
ACNB,Financial Services,false,true,true,true,true,2000-03-31,2023-12-15,1240,1238,T1-B1-S1-I1,PASS_REQUIRED_WINDOWS,0,0,0,true,false,280,TEXT_CONTENT_INTEGRITY_NOT_AUDITED_M2_02,NOT_SELECTED_BY_DETERMINISTIC_DIVERSITY_TIE_BREAK
ACP,Financial Services,false,true,false,true,true,2011-04-29,2023-12-15,662,660,T1-B0-S1-I1,PASS_REQUIRED_WINDOWS,0,0,0,true,false,129,TEXT_CONTENT_INTEGRITY_NOT_AUDITED_M2_02;TABLE_MEMBER_MISSING,NOT_SELECTED_BY_DETERMINISTIC_DIVERSITY_TIE_BREAK
ACRE,Real Estate,false,true,true,true,true,2012-07-27,2023-12-15,597,595,T1-B1-S1-I1,PASS_REQUIRED_WINDOWS,0,0,0,true,false,1643,TEXT_CONTENT_INTEGRITY_NOT_AUDITED_M2_02,NOT_SELECTED_BY_DETERMINISTIC_DIVERSITY_TIE_BREAK
ACRS,Healthcare,false,true,true,true,true,2015-12-31,2023-12-15,418,416,T1-B1-S1-I1,PASS_REQUIRED_WINDOWS,0,0,0,true,false,131,TEXT_CONTENT_INTEGRITY_NOT_AUDITED_M2_02,NOT_SELECTED_BY_DETERMINISTIC_DIVERSITY_TIE_BREAK
ACSI,N/A,false,true,false,true,true,,,0,0,T1-B0-S1-I1,INVALID_HEADER,0,0,0,false,false,,TEXT_CONTENT_INTEGRITY_NOT_AUDITED_M2_02;TABLE_MEMBER_MISSING,INCOMPLETE_STRUCTURALLY_VALID_REQUIRED_WINDOWS
ACT,Financial Services,false,true,true,true,true,2021-12-10,2023-12-15,108,106,T1-B1-S1-I1,PASS_REQUIRED_WINDOWS,0,0,0,true,false,2368,TEXT_CONTENT_INTEGRITY_NOT_AUDITED_M2_02,NOT_SELECTED_BY_DETERMINISTIC_DIVERSITY_TIE_BREAK
ACTG,Industrials,false,true,true,true,true,2003-03-14,2023-12-15,1086,1084,T1-B1-S1-I1,PASS_REQUIRED_WINDOWS,0,0,0,true,false,863,TEXT_CONTENT_INTEGRITY_NOT_AUDITED_M2_02,NOT_SELECTED_BY_DETERMINISTIC_DIVERSITY_TIE_BREAK
ACU,Consumer Defensive,false,true,true,true,true,2000-03-31,2023-12-15,1240,1238,T1-B1-S1-I1,PASS_REQUIRED_WINDOWS,0,0,0,true,false,1727,TEXT_CONTENT_INTEGRITY_NOT_AUDITED_M2_02,NOT_SELECTED_BY_DETERMINISTIC_DIVERSITY_TIE_BREAK
ACV,Financial Services,false,true,false,true,true,2015-08-21,2023-12-15,437,435,T1-B0-S1-I1,PASS_REQUIRED_WINDOWS,0,0,0,true,false,2655,TEXT_CONTENT_INTEGRITY_NOT_AUDITED_M2_02;TABLE_MEMBER_MISSING,NOT_SELECTED_BY_DETERMINISTIC_DIVERSITY_TIE_BREAK
ACWI,N/A,false,true,false,true,true,,,0,0,T1-B0-S1-I1,INVALID_HEADER,0,0,0,false,false,,TEXT_CONTENT_INTEGRITY_NOT_AUDITED_M2_02;TABLE_MEMBER_MISSING,INCOMPLETE_STRUCTURALLY_VALID_REQUIRED_WINDOWS
ACWV,N/A,false,true,false,true,true,,,0,0,T1-B0-S1-I1,INVALID_HEADER,0,0,0,false,false,,TEXT_CONTENT_INTEGRITY_NOT_AUDITED_M2_02;TABLE_MEMBER_MISSING,INCOMPLETE_STRUCTURALLY_VALID_REQUIRED_WINDOWS
ACWX,N/A,false,true,false,true,true,,,0,0,T1-B0-S1-I1,INVALID_HEADER,0,0,0,false,false,,TEXT_CONTENT_INTEGRITY_NOT_AUDITED_M2_02;TABLE_MEMBER_MISSING,INCOMPLETE_STRUCTURALLY_VALID_REQUIRED_WINDOWS
ADAP,Healthcare,false,true,true,true,true,2015-07-31,2023-12-15,440,438,T1-B1-S1-I1,PASS_REQUIRED_WINDOWS,0,0,0,true,false,1251,TEXT_CONTENT_INTEGRITY_NOT_AUDITED_M2_02,NOT_SELECTED_BY_DETERMINISTIC_DIVERSITY_TIE_BREAK
ADBE,Technology,false,true,true,true,true,2000-03-31,2023-12-15,1240,1238,T1-B1-S1-I1,PASS_REQUIRED_WINDOWS,0,0,0,true,false,1373,TEXT_CONTENT_INTEGRITY_NOT_AUDITED_M2_02,NOT_SELECTED_BY_DETERMINISTIC_DIVERSITY_TIE_BREAK
ADC,Real Estate,false,true,true,true,true,2000-03-31,2023-12-15,1240,1238,T1-B1-S1-I1,PASS_REQUIRED_WINDOWS,0,0,0,true,false,1538,TEXT_CONTENT_INTEGRITY_NOT_AUDITED_M2_02,NOT_SELECTED_BY_DETERMINISTIC_DIVERSITY_TIE_BREAK
ADCT,Healthcare,false,true,true,true,true,2020-08-14,2023-12-15,177,175,T1-B1-S1-I1,PASS_REQUIRED_WINDOWS,0,0,0,true,false,1096,TEXT_CONTENT_INTEGRITY_NOT_AUDITED_M2_02,NOT_SELECTED_BY_DETERMINISTIC_DIVERSITY_TIE_BREAK
ADI,Technology,false,true,true,true,true,2000-03-31,2023-12-15,1240,1238,T1-B1-S1-I1,PASS_REQUIRED_WINDOWS,0,0,0,true,false,449,TEXT_CONTENT_INTEGRITY_NOT_AUDITED_M2_02,NOT_SELECTED_BY_DETERMINISTIC_DIVERSITY_TIE_BREAK
ADIL,Healthcare,false,true,true,true,true,2018-10-26,2023-12-15,271,269,T1-B1-S1-I1,PASS_REQUIRED_WINDOWS,0,0,0,true,false,1993,TEXT_CONTENT_INTEGRITY_NOT_AUDITED_M2_02,NOT_SELECTED_BY_DETERMINISTIC_DIVERSITY_TIE_BREAK
ADM,Consumer Defensive,false,true,true,true,true,2000-03-31,2023-12-15,1240,1238,T1-B1-S1-I1,PASS_REQUIRED_WINDOWS,0,0,0,true,false,257,TEXT_CONTENT_INTEGRITY_NOT_AUDITED_M2_02,NOT_SELECTED_BY_DETERMINISTIC_DIVERSITY_TIE_BREAK
ADMA,Healthcare,false,true,true,true,true,2014-01-17,2023-12-15,520,518,T1-B1-S1-I1,PASS_REQUIRED_WINDOWS,0,0,0,true,false,2015,TEXT_CONTENT_INTEGRITY_NOT_AUDITED_M2_02,NOT_SELECTED_BY_DETERMINISTIC_DIVERSITY_TIE_BREAK
ADME,N/A,false,true,false,true,true,,,0,0,T1-B0-S1-I1,INVALID_HEADER,0,0,0,false,false,,TEXT_CONTENT_INTEGRITY_NOT_AUDITED_M2_02;TABLE_MEMBER_MISSING,INCOMPLETE_STRUCTURALLY_VALID_REQUIRED_WINDOWS
ADNT,Consumer Cyclical,false,true,true,true,true,2017-01-13,2023-12-15,364,362,T1-B1-S1-I1,PASS_REQUIRED_WINDOWS,0,0,0,true,false,2645,TEXT_CONTENT_INTEGRITY_NOT_AUDITED_M2_02,NOT_SELECTED_BY_DETERMINISTIC_DIVERSITY_TIE_BREAK
ADP,Technology,false,true,true,true,true,2000-03-31,2023-12-15,1240,1238,T1-B1-S1-I1,PASS_REQUIRED_WINDOWS,0,0,0,true,false,995,TEXT_CONTENT_INTEGRITY_NOT_AUDITED_M2_02,NOT_SELECTED_BY_DETERMINISTIC_DIVERSITY_TIE_BREAK
ADPT,Healthcare,false,true,true,true,true,2019-09-27,2023-12-15,223,221,T1-B1-S1-I1,PASS_REQUIRED_WINDOWS,0,0,0,true,false,1283,TEXT_CONTENT_INTEGRITY_NOT_AUDITED_M2_02,NOT_SELECTED_BY_DETERMINISTIC_DIVERSITY_TIE_BREAK
ADSK,Technology,false,true,true,true,true,2000-03-31,2023-12-15,1240,1238,T1-B1-S1-I1,PASS_REQUIRED_WINDOWS,0,0,0,true,false,78,TEXT_CONTENT_INTEGRITY_NOT_AUDITED_M2_02,NOT_SELECTED_BY_DETERMINISTIC_DIVERSITY_TIE_BREAK
ADT,Industrials,false,true,true,true,true,2018-04-20,2023-12-15,298,296,T1-B1-S1-I1,PASS_REQUIRED_WINDOWS,0,0,0,true,false,2893,TEXT_CONTENT_INTEGRITY_NOT_AUDITED_M2_02,NOT_SELECTED_BY_DETERMINISTIC_DIVERSITY_TIE_BREAK
ADTN,Technology,false,true,true,true,true,2000-03-31,2023-12-15,1240,1238,T1-B1-S1-I1,PASS_REQUIRED_WINDOWS,0,0,0,true,false,554,TEXT_CONTENT_INTEGRITY_NOT_AUDITED_M2_02,NOT_SELECTED_BY_DETERMINISTIC_DIVERSITY_TIE_BREAK
ADTX,Healthcare,false,true,true,true,true,2020-09-25,2023-12-15,171,169,T1-B1-S1-I1,PASS_REQUIRED_WINDOWS,0,0,0,true,false,273,TEXT_CONTENT_INTEGRITY_NOT_AUDITED_M2_02,NOT_SELECTED_BY_DETERMINISTIC_DIVERSITY_TIE_BREAK
ADUS,Healthcare,false,true,true,true,true,2010-01-29,2023-12-15,727,725,T1-B1-S1-I1,PASS_REQUIRED_WINDOWS,0,0,0,true,false,463,TEXT_CONTENT_INTEGRITY_NOT_AUDITED_M2_02,NOT_SELECTED_BY_DETERMINISTIC_DIVERSITY_TIE_BREAK
ADVM,Healthcare,false,true,true,true,true,2014-10-24,2023-12-15,480,478,T1-B1-S1-I1,PASS_REQUIRED_WINDOWS,0,0,0,true,false,2719,TEXT_CONTENT_INTEGRITY_NOT_AUDITED_M2_02,NOT_SELECTED_BY_DETERMINISTIC_DIVERSITY_TIE_BREAK
ADX,Financial Services,false,true,false,true,true,2000-03-31,2023-12-15,1240,1238,T1-B0-S1-I1,PASS_REQUIRED_WINDOWS,0,0,0,true,false,2437,TEXT_CONTENT_INTEGRITY_NOT_AUDITED_M2_02;TABLE_MEMBER_MISSING,NOT_SELECTED_BY_DETERMINISTIC_DIVERSITY_TIE_BREAK
ADXN,Healthcare,false,true,true,true,true,2020-05-08,2023-12-15,191,189,T1-B1-S1-I1,PASS_REQUIRED_WINDOWS,0,0,0,true,false,575,TEXT_CONTENT_INTEGRITY_NOT_AUDITED_M2_02,NOT_SELECTED_BY_DETERMINISTIC_DIVERSITY_TIE_BREAK
ADXS,Healthcare,false,true,false,true,true,2020-08-07,2023-12-15,178,176,T1-B0-S1-I1,PASS_REQUIRED_WINDOWS,0,0,0,true,false,250,TEXT_CONTENT_INTEGRITY_NOT_AUDITED_M2_02;TABLE_MEMBER_MISSING,NOT_SELECTED_BY_DETERMINISTIC_DIVERSITY_TIE_BREAK
AEE,Utilities,false,true,true,true,true,2000-03-31,2023-12-15,1240,1238,T1-B1-S1-I1,PASS_REQUIRED_WINDOWS,0,0,0,true,false,914,TEXT_CONTENT_INTEGRITY_NOT_AUDITED_M2_02,NOT_SELECTED_BY_DETERMINISTIC_DIVERSITY_TIE_BREAK
AEF,Financial Services,false,true,false,true,true,2000-03-31,2023-12-15,1240,1238,T1-B0-S1-I1,PASS_REQUIRED_WINDOWS,0,0,0,true,false,2568,TEXT_CONTENT_INTEGRITY_NOT_AUDITED_M2_02;TABLE_MEMBER_MISSING,NOT_SELECTED_BY_DETERMINISTIC_DIVERSITY_TIE_BREAK
AEFC,N/A,false,true,true,true,true,2020-01-24,2023-12-15,206,204,T1-B1-S1-I1,PASS_REQUIRED_WINDOWS,0,0,0,true,false,1502,TEXT_CONTENT_INTEGRITY_NOT_AUDITED_M2_02,NOT_SELECTED_BY_DETERMINISTIC_DIVERSITY_TIE_BREAK
AEG,Financial Services,false,true,true,true,true,2000-03-31,2023-12-15,1240,1238,T1-B1-S1-I1,PASS_REQUIRED_WINDOWS,0,0,0,true,false,85,TEXT_CONTENT_INTEGRITY_NOT_AUDITED_M2_02,NOT_SELECTED_BY_DETERMINISTIC_DIVERSITY_TIE_BREAK
AEHR,Technology,false,true,true,true,true,2000-03-31,2023-12-15,1240,1238,T1-B1-S1-I1,PASS_REQUIRED_WINDOWS,0,0,0,true,false,2951,TEXT_CONTENT_INTEGRITY_NOT_AUDITED_M2_02,NOT_SELECTED_BY_DETERMINISTIC_DIVERSITY_TIE_BREAK
AEIS,Industrials,false,true,true,true,true,2000-03-31,2023-12-15,1240,1238,T1-B1-S1-I1,PASS_REQUIRED_WINDOWS,0,0,0,true,false,1178,TEXT_CONTENT_INTEGRITY_NOT_AUDITED_M2_02,NOT_SELECTED_BY_DETERMINISTIC_DIVERSITY_TIE_BREAK
AEM,Basic Materials,false,true,true,true,true,2000-03-31,2023-12-15,1240,1238,T1-B1-S1-I1,PASS_REQUIRED_WINDOWS,0,0,0,true,false,1778,TEXT_CONTENT_INTEGRITY_NOT_AUDITED_M2_02,NOT_SELECTED_BY_DETERMINISTIC_DIVERSITY_TIE_BREAK
AEMD,Healthcare,false,true,true,true,true,2000-03-31,2023-12-15,1240,1238,T1-B1-S1-I1,PASS_REQUIRED_WINDOWS,0,0,0,true,true,11,TEXT_CONTENT_INTEGRITY_NOT_AUDITED_M2_02,
AEO,Consumer Cyclical,false,true,true,true,true,2000-03-31,2023-12-15,1240,1238,T1-B1-S1-I1,PASS_REQUIRED_WINDOWS,0,0,0,true,false,254,TEXT_CONTENT_INTEGRITY_NOT_AUDITED_M2_02,NOT_SELECTED_BY_DETERMINISTIC_DIVERSITY_TIE_BREAK
AEP,Utilities,false,true,true,true,true,2000-03-31,2023-12-15,1240,1238,T1-B1-S1-I1,PASS_REQUIRED_WINDOWS,0,0,0,true,false,582,TEXT_CONTENT_INTEGRITY_NOT_AUDITED_M2_02,NOT_SELECTED_BY_DETERMINISTIC_DIVERSITY_TIE_BREAK
AER,Industrials,false,true,true,true,true,2007-02-23,2023-12-15,880,878,T1-B1-S1-I1,PASS_REQUIRED_WINDOWS,0,0,0,true,false,204,TEXT_CONTENT_INTEGRITY_NOT_AUDITED_M2_02,NOT_SELECTED_BY_DETERMINISTIC_DIVERSITY_TIE_BREAK
AES,Utilities,false,true,true,true,true,2000-03-31,2023-12-15,1240,1238,T1-B1-S1-I1,PASS_REQUIRED_WINDOWS,0,0,0,true,false,1384,TEXT_CONTENT_INTEGRITY_NOT_AUDITED_M2_02,NOT_SELECTED_BY_DETERMINISTIC_DIVERSITY_TIE_BREAK
